"downlink","uplink","downlink_rate","timestamp","uplink_rate"
"10bps","45bps",10,"Apr 29, 2025, 12:01:00 AM",45
"12bps","43bps",12,"Apr 29, 2025, 12:48:56 AM",43
"13bps","51bps",13,"Apr 29, 2025, 1:36:52 AM",51
"10bps","45bps",10,"Apr 29, 2025, 2:24:48 AM",45
"12bps","50bps",12,"Apr 29, 2025, 3:12:44 AM",50
"11bps","44bps",11,"Apr 29, 2025, 4:00:40 AM",44
"9bps","38bps",9,"Apr 29, 2025, 4:48:36 AM",38
"11bps","50bps",11,"Apr 29, 2025, 5:36:32 AM",50
"7bps","44bps",7,"Apr 29, 2025, 6:24:28 AM",44
"7bps","45bps",7,"Apr 29, 2025, 7:12:24 AM",45
"10bps","51bps",10,"Apr 29, 2025, 8:00:20 AM",51
"10bps","38bps",10,"Apr 29, 2025, 8:48:16 AM",38
"10bps","51bps",10,"Apr 29, 2025, 9:36:12 AM",51
"27.98kbps","851.08kbps",27977,"Apr 29, 2025, 10:24:08 AM",851080
"8bps","43bps",8,"Apr 29, 2025, 11:12:04 AM",43
"27.57kbps","890.07kbps",27569,"Apr 29, 2025, 12:00:00 PM",890065
"53.03kbps","2.05Mbps",53030,"Apr 29, 2025, 12:47:56 PM",2046118
"24.51kbps","0.98Mbps",24509,"Apr 29, 2025, 1:35:52 PM",983905
"7bps","204bps",7,"Apr 29, 2025, 2:23:48 PM",204
"99.24kbps","3.83Mbps",99236,"Apr 29, 2025, 3:11:44 PM",3829927
"117.8kbps","4.55Mbps",117804,"Apr 29, 2025, 3:59:40 PM",4552785
"35.84kbps","1.39Mbps",35841,"Apr 29, 2025, 4:47:36 PM",1389201
"19bps","46bps",19,"Apr 29, 2025, 5:35:32 PM",46
"15bps","39bps",15,"Apr 29, 2025, 6:23:28 PM",39
"5.34kbps","242.43kbps",5341,"Apr 29, 2025, 7:11:24 PM",242430
"13bps","38bps",13,"Apr 29, 2025, 7:59:20 PM",38
"18bps","39bps",18,"Apr 29, 2025, 8:47:16 PM",39
"25bps","48bps",25,"Apr 29, 2025, 9:35:12 PM",48
"22bps","40bps",22,"Apr 29, 2025, 10:23:08 PM",40
"21bps","42bps",21,"Apr 29, 2025, 11:11:04 PM",42
"19bps","44bps",19,"Apr 29, 2025, 11:59:00 PM",44